id,cluster_label,income_amount,total_expenses,spending_ratio,top_category_amount,num_transactions,balance,daily_burn_rate,days_remaining,savings_goal_progress,risk_label,projected_days_left,sustainability_label,cat_food,cat_transport,cat_shopping,cat_utilities,cat_health,cat_entertainment,cat_savings,cat_education,cat_other
260,Impulsive,10066.65,8019.09,0.7966,2264.17,20,2047.56,364.5,8,0.9652,risky,5.62,critical,1614.32,797.69,2264.17,796.17,417.67,1655.75,240.75,137.22,95.35
38,Savers,51624.29,6989.93,0.1354,2210.71,11,44634.36,1397.99,25,0.6534,caution,31.93,on_track,2210.71,790.9,190.41,1665.3,680.96,78.52,1146.54,663.31,0
370,At-Risk,8717.65,8216.39,0.9425,2779.37,33,501.26,373.47,8,0.9158,risky,1.34,critical,1707.84,1093.46,2779.37,619.4,217.52,2029.88,86.76,82.92,0
113,Balanced,19422.33,12315.7,0.6341,2646.57,17,7106.63,648.19,11,0.7646,risky,10.96,at_risk,2646.57,1425.24,1897.41,2166.11,913.74,825.19,1288.96,700.17,452.31
19,Savers,10969.67,1563.18,0.1425,414.67,9,9406.49,521.06,27,0.0053,risky,18.05,critical,414.67,146.49,54.55,369.69,178.38,12.82,234.98,112.61,38.99
1,Savers,8100.04,1423.99,0.1758,467.6,3,6676.05,118.67,18,0.9748,safe,56.26,on_track,467.6,152.46,37.91,362.42,118.87,14.27,206.93,92.49,0
319,At-Risk,67250.32,73894.65,1.0988,25592.57,27,-6644.33,12315.77,24,0.3043,risky,-0.54,critical,12702.28,7896.46,25592.57,4983.49,2632.55,14070.52,864.7,872.02,4280.06
317,At-Risk,18906.09,20186.03,1.0677,7158.26,33,-1279.94,1261.63,14,1.1184,risky,-1.01,critical,3005.35,2116.27,7158.26,1604.92,519.72,4830.73,163.87,187.22,599.69
48,Savers,67851.09,8060.71,0.1188,2352.47,7,59790.38,732.79,19,1.1344,safe,81.59,on_track,2352.47,748.78,249.1,1596.28,674.3,95.14,1432.51,731.51,180.62
194,Balanced,34370.7,19464.13,0.5663,4259.21,11,14906.57,671.18,1,0.001,caution,22.21,on_track,4259.21,2326.36,4038.36,2910.54,1438.2,1357.28,1627.4,869.12,637.66
230,Impulsive,17347.72,14178.29,0.8173,3510.55,22,3169.43,1772.29,22,0.7786,risky,1.79,critical,2768.38,1141.27,3510.55,1626.72,715.95,2710.29,466.8,308.95,929.38
201,Impulsive,49385.59,39093.63,0.7916,11419.41,23,10291.96,4886.7,22,0.3563,risky,2.11,critical,8154.36,3645.24,11419.41,4651.2,1883.75,5780.23,1198.19,914.97,1446.28
321,At-Risk,70251.34,78428.6,1.1164,27676.74,21,-8177.26,6535.72,18,1.1477,risky,-1.25,critical,15737.34,10642.49,27676.74,4485.15,2819.51,16920.32,790.15,751.54,0
324,At-Risk,19465.37,17793.29,0.9141,5886.24,32,1672.08,635.47,2,1.3684,caution,2.63,on_track,3137.97,2036.2,5886.24,1390.54,536.29,3951.82,209.94,169.3,474.99
224,Impulsive,8192.94,5889.09,0.7188,1591.99,23,2303.85,588.91,20,0.2057,risky,3.91,critical,1000.48,519.53,1591.99,632.66,236.66,1145.63,171.08,98.98,492.08
132,Balanced,72128.57,46133.43,0.6396,9430.77,19,25995.14,4193.95,19,0.8969,risky,6.2,critical,9430.77,4500.71,8436.08,7624.16,4098.22,2764.49,5523.99,2061.39,1693.62
320,At-Risk,13595.23,17294.49,1.2721,6028.72,32,-3699.26,2882.42,24,0.9173,risky,-1.28,critical,3570.16,2040.1,6028.72,1088.0,499.09,3538.29,141.25,189.22,199.66
167,Balanced,9611.4,6027.31,0.6271,1734.25,18,3584.09,753.41,22,1.2752,risky,4.76,critical,1734.25,591.81,1079.73,933.73,553.34,480.5,504.64,358.28,0
379,At-Risk,48711.68,46446.59,0.9535,16800.31,40,2265.09,3096.44,15,0.002,risky,0.73,critical,8595.75,5492.8,16800.31,2781.29,1506.62,12165.52,405.93,533.5,0
